method,k,params,silhouette,bss_tss_ratio,BSS,TSS,n_clusters_actual
K-Means,2,k=2,0.2509,32.23,462.8795,1436.0936,2
K-Medoids,2,k=2,0.2368,30.77,441.8329,1436.0936,2
FCM,2,k=2,0.2509,32.23,462.8795,1436.0936,2
PCM,2,k=2,0.2509,32.23,462.8795,1436.0936,2
FPCM,2,k=2,0.2509,32.23,462.8795,1436.0936,2
MFPCM,2,k=2,0.2509,32.23,462.8795,1436.0936,2
K-Means,3,k=3,0.1834,39.22,563.1848,1436.0936,3
K-Medoids,3,k=3,0.1501,35.79,513.9144,1436.0936,3
FCM,3,k=3,0.1711,38.74,556.332,1436.0936,3
PCM,3,k=3,0.1544,36.85,529.2092,1436.0936,3
FPCM,3,k=3,0.1204,37.25,534.9363,1436.0936,3
MFPCM,3,k=3,0.1746,38.64,554.9315,1436.0936,3
K-Means,4,k=4,0.1814,44.63,640.9506,1436.0936,4
K-Medoids,4,k=4,0.0824,42.94,616.6834,1436.0936,4
FCM,4,k=4,0.1026,44.28,635.9462,1436.0936,4
PCM,4,k=4,-0.03,38.45,552.1855,1436.0936,4
FPCM,4,k=4,0.0969,44.17,634.3814,1436.0936,4
MFPCM,4,k=4,0.1065,44.68,641.6602,1436.0936,4
K-Means,5,k=5,0.1194,50.62,726.9207,1436.0936,5
K-Medoids,5,k=5,0.0751,43.48,624.37,1436.0936,5
FCM,5,k=5,0.106,49.61,712.4775,1436.0936,5
PCM,5,k=5,0.1752,44.78,643.102,1436.0936,4
FPCM,5,k=5,0.1307,51.49,739.3827,1436.0936,5
MFPCM,5,k=5,0.1278,51.31,736.8241,1436.0936,5
K-Means,6,k=6,0.1093,55.23,793.089,1436.0936,6
K-Medoids,6,k=6,0.0705,46.9,673.4901,1436.0936,6
FCM,6,k=6,0.0967,52.98,760.85,1436.0936,6
PCM,6,k=6,0.0774,52.08,747.95,1436.0936,6
FPCM,6,k=6,0.1253,55.06,790.7558,1436.0936,6
MFPCM,6,k=6,0.1213,54.35,780.5359,1436.0936,6
K-Means,7,k=7,0.1121,57.88,831.2413,1436.0936,7
K-Medoids,7,k=7,0.0539,51.08,733.5742,1436.0936,7
FCM,7,k=7,0.1213,58.61,841.6552,1436.0936,7
PCM,7,k=7,0.0121,52.51,754.1046,1436.0936,7
FPCM,7,k=7,0.1345,60.07,862.7039,1436.0936,7
MFPCM,7,k=7,0.1213,58.61,841.6552,1436.0936,7
K-Means,8,k=8,0.1247,62.64,899.5076,1436.0936,8
K-Medoids,8,k=8,0.0831,57.67,828.2336,1436.0936,8
FCM,8,k=8,0.1189,62.79,901.7021,1436.0936,8
PCM,8,k=8,0.0236,57.84,830.5664,1436.0936,8
FPCM,8,k=8,0.1338,63.62,913.6598,1436.0936,8
MFPCM,8,k=8,0.1189,62.79,901.7021,1436.0936,8
K-Means,9,k=9,0.1118,64.25,922.7116,1436.0936,9
K-Medoids,9,k=9,0.0854,61.66,885.4562,1436.0936,9
FCM,9,k=9,0.098,65.23,936.7144,1436.0936,9
PCM,9,k=9,0.0242,61.05,876.6926,1436.0936,9
FPCM,9,k=9,0.1038,65.36,938.66,1436.0936,9
MFPCM,9,k=9,0.0993,65.21,936.4813,1436.0936,9
K-Means,10,k=10,0.1164,67.9,975.1096,1436.0936,10
K-Medoids,10,k=10,0.0788,63.91,917.7592,1436.0936,10
FCM,10,k=10,0.1066,66.89,960.5605,1436.0936,10
PCM,10,k=10,0.0107,61.53,883.6084,1436.0936,10
FPCM,10,k=10,0.0999,68.03,976.9848,1436.0936,10
MFPCM,10,k=10,0.0988,67.49,969.1961,1436.0936,10
DBSCAN,2,"eps=5.1,min_s=2",0.6306,84.06,233.3596,277.6062,2
DBSCAN,3,"eps=5.2,min_s=2",0.4157,83.03,282.0906,339.7259,3
DBSCAN,4,"eps=5.3,min_s=2",0.2603,84.96,402.0803,473.265,4
DBSCAN,4,"eps=5.4,min_s=2",0.2603,84.96,402.0803,473.265,4
DBSCAN,4,"eps=5.5,min_s=2",0.2603,84.96,402.0803,473.265,4
DBSCAN,4,"eps=5.6,min_s=2",0.2603,84.96,402.0803,473.265,4
DBSCAN,4,"eps=5.7,min_s=2",0.2465,81.13,434.5283,535.5653,4
DBSCAN,2,"eps=5.7,min_s=3",0.1651,35.95,42.1043,117.1045,2
DBSCAN,5,"eps=5.8,min_s=2",0.2501,81.22,508.2235,625.7545,5
DBSCAN,2,"eps=5.8,min_s=3",0.1651,35.95,42.1043,117.1045,2
DBSCAN,4,"eps=5.9,min_s=2",0.3563,72.63,484.1109,666.5336,4
DBSCAN,4,"eps=6.0,min_s=2",0.2976,69.0,480.6302,696.5697,4
DBSCAN,2,"eps=6.0,min_s=3",0.3547,45.83,160.6649,350.5675,2
DBSCAN,4,"eps=6.1,min_s=2",0.2976,69.0,480.6302,696.5697,4
DBSCAN,2,"eps=6.1,min_s=3",0.3547,45.83,160.6649,350.5675,2
DBSCAN,4,"eps=6.2,min_s=2",0.2785,65.85,482.1146,732.1868,4
DBSCAN,2,"eps=6.2,min_s=3",0.3171,42.82,167.7766,391.8119,2
DBSCAN,4,"eps=6.3,min_s=2",0.2684,62.12,522.046,840.3983,4
DBSCAN,2,"eps=6.3,min_s=3",0.299,38.11,179.9896,472.305,2
DBSCAN,4,"eps=6.4,min_s=2",0.2684,62.12,522.046,840.3983,4
DBSCAN,2,"eps=6.4,min_s=3",0.299,38.11,179.9896,472.305,2
DBSCAN,4,"eps=6.5,min_s=2",0.2488,57.98,518.1624,893.7005,4
DBSCAN,2,"eps=6.5,min_s=3",0.2721,33.46,175.7841,525.2853,2
DBSCAN,4,"eps=6.6,min_s=2",0.2387,57.18,535.5587,936.5791,4
DBSCAN,3,"eps=6.6,min_s=3",0.2258,44.81,315.2712,703.6434,3
DBSCAN,3,"eps=6.7,min_s=2",0.2515,50.35,471.5514,936.5791,3
DBSCAN,2,"eps=6.7,min_s=3",0.275,35.71,251.264,703.6434,2
DBSCAN,4,"eps=6.8,min_s=2",0.1498,52.54,584.3503,1112.1922,4
DBSCAN,2,"eps=6.8,min_s=3",0.2747,35.73,273.9077,766.6395,2
DBSCAN,3,"eps=6.9,min_s=2",0.2426,46.89,541.2756,1154.4061,3
DBSCAN,2,"eps=6.9,min_s=3",0.2718,34.71,319.2256,919.7079,2
DBSCAN,3,"eps=7.0,min_s=2",0.2426,46.89,541.2756,1154.4061,3
DBSCAN,2,"eps=7.0,min_s=3",0.2718,34.71,319.2256,919.7079,2
DBSCAN,3,"eps=7.1,min_s=2",0.2426,46.89,541.2756,1154.4061,3
DBSCAN,2,"eps=7.1,min_s=3",0.2718,34.71,319.2256,919.7079,2
DBSCAN,3,"eps=7.2,min_s=2",0.2426,46.89,541.2756,1154.4061,3
DBSCAN,2,"eps=7.2,min_s=3",0.2718,34.71,319.2256,919.7079,2
